Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,USDA1021,WSM1022
yecS_10,yecS_10,L-cystine transport system permease protein YecS,2,2,1.0,4,155,,,,660,660,660.0,USDA1021_06860,WSM1022_04927
ugpC_13,ugpC_13,sn-glycerol-3-phosphate import ATP-binding protein UgpC,2,2,1.0,4,154,,,,1050,1050,1050.0,USDA1021_06907,WSM1022_04967
ugpC_12,ugpC_12,sn-glycerol-3-phosphate import ATP-binding protein UgpC,2,2,1.0,4,153,,,,1050,1050,1050.0,USDA1021_06869,WSM1022_04936
rbsA_15,rbsA_15,Ribose import ATP-binding protein RbsA,2,2,1.0,4,152,,,,1530,1530,1530.0,USDA1021_06815,WSM1022_04874
lyx,lyx,L-xylulose/3-keto-L-gulonate kinase,2,2,1.0,4,151,,,,1530,1530,1530.0,USDA1021_06801,WSM1022_04860
group_4239,,hypothetical protein,2,2,1.0,4,150,,,,2010,2010,2010.0,USDA1021_06896,WSM1022_04956
group_4238,,Antitoxin VapB39,2,2,1.0,4,149,,,,228,228,228.0,USDA1021_06875,WSM1022_04942
hcaB_5,hcaB_5,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase,2,2,1.0,4,148,,,,903,903,903.0,USDA1021_06807,WSM1022_04866
group_4237,,hypothetical protein,2,2,1.0,4,147,,,,429,591,510.0,USDA1021_06888,WSM1022_04948
tcyB_2,tcyB_2,L-cystine transport system permease protein TcyB,2,2,1.0,4,146,,,,663,663,663.0,USDA1021_06859,WSM1022_04926
bdcA,bdcA,Cyclic-di-GMP-binding biofilm dispersal mediator protein,2,2,1.0,4,145,,,,747,747,747.0,USDA1021_06837,WSM1022_04904
COQ5_8,COQ5_8,2-methoxy-6-polyprenyl-14-benzoquinol methylase mitochondrial,2,2,1.0,4,144,,,,1179,1179,1179.0,USDA1021_06844,WSM1022_04911
group_4236,,hypothetical protein,2,2,1.0,4,143,,,,186,186,186.0,USDA1021_06946,WSM1022_05006
rbsA_14,rbsA_14,Ribose import ATP-binding protein RbsA,2,2,1.0,4,142,,,,1542,1542,1542.0,USDA1021_06795,WSM1022_04854
apnO,apnO,D-apionate oxidoisomerase,2,2,1.0,4,141,,,,828,828,828.0,USDA1021_06939,WSM1022_04999
doeA_4,doeA_4,Ectoine hydrolase,2,2,1.0,4,140,,,,1182,1182,1182.0,USDA1021_06855,WSM1022_04922
group_4235,,hypothetical protein,2,2,1.0,4,139,,,,339,339,339.0,USDA1021_06841,WSM1022_04908
rbsA_16,rbsA_16,Ribose import ATP-binding protein RbsA,2,2,1.0,4,138,,,,1545,1545,1545.0,USDA1021_06936,WSM1022_04996
group_4234,,hypothetical protein,2,2,1.0,4,137,,,,606,606,606.0,USDA1021_06965,WSM1022_05028
group_4233,,hypothetical protein,2,2,1.0,4,136,,,,951,1149,1050.0,USDA1021_06836,WSM1022_04903
group_4232,,hypothetical protein,2,2,1.0,4,135,,,,615,615,615.0,USDA1021_06832,WSM1022_04899
siaM_4~~~siaM_2,siaM_4;siaM_2,Sialic acid TRAP transporter large permease protein SiaM,2,2,1.0,4,134,,,,846,1278,1062.0,USDA1021_06915,WSM1022_04975
oiaK,oiaK,3-oxo-isoapionate kinase,2,2,1.0,4,132,,,,1329,1329,1329.0,USDA1021_06893,WSM1022_04953
potA_8,potA_8,Spermidine/putrescine import ATP-binding protein PotA,2,2,1.0,4,131,,,,1062,1062,1062.0,USDA1021_06924,WSM1022_04984
group_4230,,hypothetical protein,2,2,1.0,4,130,,,,222,222,222.0,USDA1021_06826,WSM1022_04885
sugB_4,sugB_4,Trehalose transport system permease protein SugB,2,2,1.0,4,129,,,,831,831,831.0,USDA1021_06960,WSM1022_05023
group_4229,,hypothetical protein,2,2,1.0,4,128,,,,1026,1026,1026.0,USDA1021_06898,WSM1022_04958
ydcV_6,ydcV_6,Inner membrane ABC transporter permease protein YdcV,2,2,1.0,4,127,,,,831,831,831.0,USDA1021_06906,WSM1022_04966
rbsC_25,rbsC_25,Ribose import permease protein RbsC,2,2,1.0,4,125,,,,1065,1065,1065.0,USDA1021_06935,WSM1022_04995
group_4228,,hypothetical protein,2,2,1.0,4,124,,,,561,564,562.5,USDA1021_06889,WSM1022_04949
tdcB_2~~~tdcB,tdcB_2;tdcB,L-threonine dehydratase catabolic TdcB,2,2,1.0,4,123,,,,1005,1005,1005.0,USDA1021_06857,WSM1022_04924
rcsC_12,rcsC_12,Sensor histidine kinase RcsC,2,2,1.0,4,122,,,,1563,1563,1563.0,USDA1021_06929,WSM1022_04989
sugA_5,sugA_5,Trehalose transport system permease protein SugA,2,2,1.0,4,121,,,,987,987,987.0,USDA1021_06961,WSM1022_05024
group_4227,,hypothetical protein,2,2,1.0,4,120,,,,759,759,759.0,USDA1021_06932,WSM1022_04992
galE_4,galE_4,UDP-glucose 4-epimerase,2,2,1.0,4,119,,,,987,987,987.0,USDA1021_06834,WSM1022_04901
hbpA_5,hbpA_5,Heme-binding protein A,2,2,1.0,4,117,,,,1566,1566,1566.0,USDA1021_06824,WSM1022_04883
group_4226,,hypothetical protein,2,2,1.0,4,116,,,,420,420,420.0,USDA1021_06839,WSM1022_04906
gnl_2,gnl_2,Gluconolactonase,2,2,1.0,4,114,,,,912,912,912.0,USDA1021_06840,WSM1022_04907
lrp_8,lrp_8,Leucine-responsive regulatory protein,2,2,1.0,4,113,,,,495,495,495.0,USDA1021_06864,WSM1022_04931
group_4224,,hypothetical protein,2,2,1.0,4,112,,,,198,198,198.0,USDA1021_06947,WSM1022_05007
group_4223,,hypothetical protein,2,2,1.0,4,111,,,,393,579,486.0,USDA1021_06808,WSM1022_04867
group_4222,,hypothetical protein,2,2,1.0,4,110,,,,1071,1071,1071.0,USDA1021_06828,WSM1022_04895
cra,cra,Catabolite repressor/activator,2,2,1.0,4,109,,,,1071,1071,1071.0,USDA1021_06817,WSM1022_04876
betI_4,betI_4,HTH-type transcriptional regulator BetI,2,2,1.0,4,108,,,,594,594,594.0,USDA1021_06951,WSM1022_05011
group_4220,,hypothetical protein,2,2,1.0,4,105,,,,264,264,264.0,USDA1021_06887,WSM1022_04947
iorB_3,iorB_3,Isoquinoline 1-oxidoreductase subunit beta,2,2,1.0,4,102,,,,2214,2214,2214.0,USDA1021_06945,WSM1022_05005
nicA,nicA,Nicotinate dehydrogenase subunit A,2,2,1.0,4,101,,,,498,498,498.0,USDA1021_06884,WSM1022_04944
yiaO_2,yiaO_2,23-diketo-L-gulonate-binding periplasmic protein YiaO,2,2,1.0,4,99,,,,993,993,993.0,USDA1021_06913,WSM1022_04973
lsrB_4,lsrB_4,Autoinducer 2-binding protein LsrB,2,2,1.0,4,98,,,,993,993,993.0,USDA1021_06816,WSM1022_04875
rbsC_23,rbsC_23,Ribose import permease protein RbsC,2,2,1.0,4,97,,,,993,993,993.0,USDA1021_06796,WSM1022_04855
group_4218,,hypothetical protein,2,2,1.0,4,96,,,,1074,1074,1074.0,USDA1021_06904,WSM1022_04964
lsrF,lsrF,3-hydroxy-5-phosphonooxypentane-24-dione thiolase,2,2,1.0,4,95,,,,843,843,843.0,USDA1021_06800,WSM1022_04859
comR_4,comR_4,HTH-type transcriptional repressor ComR,2,2,1.0,4,94,,,,615,615,615.0,USDA1021_06838,WSM1022_04905
nanR_8,nanR_8,HTH-type transcriptional repressor NanR,2,2,1.0,4,93,,,,771,771,771.0,USDA1021_06912,WSM1022_04972
nicB_2,nicB_2,Nicotinate dehydrogenase subunit B,2,2,1.0,4,92,,,,1389,1389,1389.0,USDA1021_06885,WSM1022_04945
nicB_1,nicB_1,Nicotinate dehydrogenase subunit B,2,2,1.0,4,91,,,,2241,2241,2241.0,USDA1021_06883,WSM1022_04943
group_4217,,hypothetical protein,2,2,1.0,4,90,,,,978,978,978.0,USDA1021_06831,WSM1022_04898
yhdN_3,yhdN_3,Aldo-keto reductase YhdN,2,2,1.0,4,89,,,,996,996,996.0,USDA1021_06798,WSM1022_04857
spuC_2,spuC_2,Putrescine--pyruvate aminotransferase,2,2,1.0,4,88,,,,1377,1377,1377.0,USDA1021_06866,WSM1022_04933
group_4216,paoC_3,Aldehyde oxidoreductase molybdenum-binding subunit PaoC,2,2,1.0,4,87,,,,2292,2292,2292.0,USDA1021_06892,WSM1022_04952
group_4215,,hypothetical protein,2,2,1.0,4,86,,,,357,357,357.0,USDA1021_06956,WSM1022_05019
uxuA,uxuA,Mannonate dehydratase,2,2,1.0,4,85,,,,1209,1209,1209.0,USDA1021_06847,WSM1022_04914
alkJ_5,alkJ_5,Alcohol dehydrogenase [acceptor],2,2,1.0,4,84,,,,1623,1623,1623.0,USDA1021_06802,WSM1022_04861
spuC_3,spuC_3,Putrescine--pyruvate aminotransferase,2,2,1.0,4,82,,,,1386,1386,1386.0,USDA1021_06908,WSM1022_04968
araQ_3,araQ_3,L-arabinose transport system permease protein AraQ,2,2,1.0,4,81,,,,849,849,849.0,USDA1021_06870,WSM1022_04937
group_4213,,hypothetical protein,2,2,1.0,4,80,,,,1386,1386,1386.0,USDA1021_06863,WSM1022_04930
group_4212,,L-ribulose 3-epimerase,2,2,1.0,4,79,,,,849,849,849.0,USDA1021_06812,WSM1022_04871
lsrD_3,lsrD_3,Autoinducer 2 import system permease protein LsrD,2,2,1.0,4,78,,,,999,999,999.0,USDA1021_06813,WSM1022_04872
group_4210,,hypothetical protein,2,2,1.0,4,76,,,,2361,2361,2361.0,USDA1021_06843,WSM1022_04910
group_4209,,hypothetical protein,2,2,1.0,4,75,,,,483,489,486.0,USDA1021_06949,WSM1022_05009
rbsC_24,rbsC_24,Ribose import permease protein RbsC,2,2,1.0,4,74,,,,1002,1002,1002.0,USDA1021_06814,WSM1022_04873
group_4208,,hypothetical protein,2,2,1.0,4,73,,,,852,852,852.0,USDA1021_06905,WSM1022_04965
fliY_5,fliY_5,L-cystine-binding protein FliY,2,2,1.0,4,72,,,,852,852,852.0,USDA1021_06861,WSM1022_04928
group_4207,,hypothetical protein,2,2,1.0,4,71,,,,510,510,510.0,USDA1021_06830,WSM1022_04897
oppF_4,oppF_4,Oligopeptide transport ATP-binding protein OppF,2,2,1.0,4,70,,,,798,798,798.0,USDA1021_06821,WSM1022_04880
group_4206,,2-haloacrylate reductase,2,2,1.0,4,69,,,,981,981,981.0,USDA1021_06899,WSM1022_04959
group_4205,,hypothetical protein,2,2,1.0,4,68,,,,1269,1272,1270.5,USDA1021_06953,WSM1022_05013
divK_2,divK_2,Polar-differentiation response regulator DivK,2,2,1.0,4,67,,,,366,366,366.0,USDA1021_06930,WSM1022_04990
group_4204,,hypothetical protein,2,2,1.0,4,66,,,,1224,1224,1224.0,USDA1021_06950,WSM1022_05010
cytR_6,cytR_6,HTH-type transcriptional repressor CytR,2,2,1.0,4,65,,,,1005,1005,1005.0,USDA1021_06921,WSM1022_04981
ugpC_14~~~ugpC_10,ugpC_14;ugpC_10,sn-glycerol-3-phosphate import ATP-binding protein UgpC,2,2,1.0,4,64,,,,1029,1029,1029.0,USDA1021_06959,WSM1022_05022
lsrR_2,lsrR_2,Transcriptional regulator LsrR,2,2,1.0,4,63,,,,1005,1005,1005.0,USDA1021_06797,WSM1022_04856
ald2_2,ald2_2,5-(methylthio)ribulose-1-phosphate aldolase,2,2,1.0,4,61,,,,699,699,699.0,USDA1021_06810,WSM1022_04869
iolG_15,iolG_15,Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase,2,2,1.0,4,60,,,,1098,1098,1098.0,USDA1021_06957,WSM1022_05020
group_4202,,hypothetical protein,2,2,1.0,4,59,,,,519,519,519.0,USDA1021_06845,WSM1022_04912
siaM_3,siaM_3,Sialic acid TRAP transporter large permease protein SiaM,2,2,1.0,4,58,,,,1407,1407,1407.0,USDA1021_06849,WSM1022_04916
group_4201,,hypothetical protein,2,2,1.0,4,57,,,,246,246,246.0,USDA1021_06804,WSM1022_04863
nanR_5,nanR_5,HTH-type transcriptional repressor NanR,2,2,1.0,4,56,,,,783,783,783.0,USDA1021_06820,WSM1022_04879
btuD_19~~~btuD_13,btuD_19;btuD_13,Vitamin B12 import ATP-binding protein BtuD,2,2,1.0,4,54,,,,1803,1803,1803.0,USDA1021_06822,WSM1022_04881
doeB,doeB,N-alpha-acetyl-L-24-diaminobutyric acid deacetylase,2,2,1.0,4,53,,,,1011,1011,1011.0,USDA1021_06854,WSM1022_04921
group_4199,,UDP-glucose 4-epimerase,2,2,1.0,4,52,,,,1047,1047,1047.0,USDA1021_06835,WSM1022_04902
group_4198,,hypothetical protein,2,2,1.0,4,51,,,,1866,1866,1866.0,USDA1021_06833,WSM1022_04900
group_4197,,hypothetical protein,2,2,1.0,4,50,,,,786,786,786.0,USDA1021_06958,WSM1022_05021
group_4196,,hypothetical protein,2,2,1.0,4,49,,,,786,786,786.0,USDA1021_06927,WSM1022_04987
group_4193,,hypothetical protein,2,2,1.0,4,46,,,,468,468,468.0,USDA1021_06914,WSM1022_04974
group_4192,,hypothetical protein,2,2,1.0,4,45,,,,786,786,786.0,USDA1021_06900,WSM1022_04960
group_4191,,hypothetical protein,2,2,1.0,4,44,,,,1695,1695,1695.0,USDA1021_06846,WSM1022_04913
glnQ_8,glnQ_8,Glutamine transport ATP-binding protein GlnQ,2,2,1.0,4,43,,,,786,786,786.0,USDA1021_06862,WSM1022_04929
maiA_2,maiA_2,Maleate isomerase,2,2,1.0,4,42,,,,786,786,786.0,USDA1021_06858,WSM1022_04925
rspR_8,rspR_8;,HTH-type transcriptional repressor RspR;hypothetical protein,2,2,1.0,4,40,,,,660,660,660.0,USDA1021_06964,WSM1022_05027
rbsB_8,rbsB_8,Ribose import binding protein RbsB,2,2,1.0,4,39,,,,942,942,942.0,USDA1021_06938,WSM1022_04998
rcsC_13,rcsC_13,Sensor histidine kinase RcsC,2,2,1.0,4,38,,,,2754,2754,2754.0,USDA1021_06931,WSM1022_04991
group_4190,,hypothetical protein,2,2,1.0,4,37,,,,1722,1722,1722.0,USDA1021_06803,WSM1022_04862
cysQ_5~~~cysQ_4,cysQ_5;cysQ_4,3'(2')5'-bisphosphate nucleotidase CysQ,2,2,1.0,4,36,,,,801,801,801.0,USDA1021_06925,WSM1022_04985
group_4189,,hypothetical protein,2,2,1.0,4,35,,,,2229,2229,2229.0,USDA1021_06923,WSM1022_04983
rafR_2,rafR_2,HTH-type transcriptional regulator RafR,2,2,1.0,4,33,,,,1017,1017,1017.0,USDA1021_06963,WSM1022_05026
glpD,glpD,Aerobic glycerol-3-phosphate dehydrogenase,2,2,1.0,4,32,,,,1734,1734,1734.0,USDA1021_06799,WSM1022_04858
group_4188,,hypothetical protein,2,2,1.0,4,31,,,,1737,1737,1737.0,USDA1021_06901,WSM1022_04961
group_4187,,hypothetical protein,2,2,1.0,4,30,,,,609,609,609.0,USDA1021_06940,WSM1022_05000
gst,gst,Glutathione S-transferase GST-4.5,2,2,1.0,4,29,,,,627,627,627.0,USDA1021_06868,WSM1022_04935
group_4186,,hypothetical protein,2,2,1.0,4,28,,,,792,792,792.0,USDA1021_06952,WSM1022_05012
nanR_7,nanR_7,HTH-type transcriptional repressor NanR,2,2,1.0,4,27,,,,714,714,714.0,USDA1021_06895,WSM1022_04955
arcB_3,;arcB_3,Delta(1)-pyrroline-2-carboxylate reductase,2,2,1.0,4,26,,,,990,990,990.0,USDA1021_06856,WSM1022_04923
group_4185,,hypothetical protein,2,2,1.0,4,25,,,,303,303,303.0,USDA1021_06829,WSM1022_04896
ttgB,ttgB,putative efflux pump membrane transporter TtgB,2,2,1.0,4,24,,,,3150,3150,3150.0,USDA1021_06942,WSM1022_05002
rhaS_7,rhaS_7,HTH-type transcriptional activator RhaS,2,2,1.0,4,23,,,,957,957,957.0,USDA1021_06943,WSM1022_05003
gsiC_17,gsiC_17,Glutathione transport system permease protein GsiC,2,2,1.0,4,22,,,,948,948,948.0,USDA1021_06823,WSM1022_04882
group_4184,,RutC family protein,2,2,1.0,4,21,,,,381,381,381.0,USDA1021_06911,WSM1022_04971
group_4182,,hypothetical protein,2,2,1.0,4,18,,,,1290,1290,1290.0,USDA1021_06873,WSM1022_04940
oiaX,oiaX,3-oxo-isoapionate-4-phosphate decarboxylase,2,2,1.0,4,16,,,,1257,1257,1257.0,USDA1021_06894,WSM1022_04954
gshAB,gshAB,Glutathione biosynthesis bifunctional protein GshAB,2,2,1.0,4,14,,,,1788,1788,1788.0,USDA1021_06818,WSM1022_04877
tdcF,tdcF,Putative reactive intermediate deaminase TdcF,2,2,1.0,4,13,,,,384,384,384.0,USDA1021_06910,WSM1022_04970
ugpA,ugpA,sn-glycerol-3-phosphate transport system permease protein UgpA,2,2,1.0,4,12,,,,882,882,882.0,USDA1021_06871,WSM1022_04938
group_4180,,hypothetical protein,2,2,1.0,4,11,,,,798,798,798.0,USDA1021_06926,WSM1022_04986
group_4179,,D-arabitol-phosphate dehydrogenase,2,2,1.0,4,10,,,,1074,1074,1074.0,USDA1021_06867,WSM1022_04934
gabD_3~~~gabD_2,gabD_3;gabD_2,Succinate-semialdehyde dehydrogenase [NADP(+)] GabD,2,2,1.0,4,9,,,,1497,1497,1497.0,USDA1021_06865,WSM1022_04932
araE,araE,Alpha-ketoglutaric semialdehyde dehydrogenase 1,2,2,1.0,4,8,,,,1464,1464,1464.0,USDA1021_06909,WSM1022_04969
iorA_2,iorA_2,Isoquinoline 1-oxidoreductase subunit alpha,2,2,1.0,4,7,,,,459,459,459.0,USDA1021_06944,WSM1022_05004
group_4178,,putative protein,2,2,1.0,4,6,,,,1029,1029,1029.0,USDA1021_06922,WSM1022_04982
group_4177,,hypothetical protein,2,2,1.0,4,5,,,,1029,1029,1029.0,USDA1021_06794,WSM1022_04853
nanR_6,nanR_6,HTH-type transcriptional repressor NanR,2,2,1.0,4,4,,,,801,801,801.0,USDA1021_06852,WSM1022_04919
group_4176,,hypothetical protein,2,2,1.0,4,3,,,,486,495,490.5,USDA1021_06825,WSM1022_04884
fucK_2,fucK_2,L-fuculokinase,2,2,1.0,4,1,,,,1473,1473,1473.0,USDA1021_06811,WSM1022_04870
kdpA,kdpA,Potassium-transporting ATPase potassium-binding subunit,2,2,1.0,2,31,,,,1710,1710,1710.0,USDA1021_03665,WSM1022_03555
kdpD,kdpD,Sensor protein KdpD,2,2,1.0,2,30,,,,2691,2691,2691.0,USDA1021_03668,WSM1022_03552
ant1,ant1,Streptomycin 3''-adenylyltransferase,2,2,1.0,2,29,,,,777,777,777.0,USDA1021_03673,WSM1022_03547
iolG_9,iolG_9,Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase,2,2,1.0,2,28,,,,2034,2034,2034.0,USDA1021_03674,WSM1022_03546
pgrR_6~~~pgrR_5,pgrR_6;pgrR_5,HTH-type transcriptional regulator PgrR,2,3,1.5,2,26,,,,258,888,585.0,USDA1021_03664;USDA1021_03663,WSM1022_03566
nagC_3,nagC_3,N-acetylglucosamine repressor,2,2,1.0,2,24,,,,1179,1179,1179.0,USDA1021_03675,WSM1022_03541
cmoA,cmoA,Carboxy-S-adenosyl-L-methionine synthase,2,2,1.0,2,23,,,,681,702,691.5,USDA1021_03659,WSM1022_03570
kdpC,kdpC,Potassium-transporting ATPase KdpC subunit,2,2,1.0,2,22,,,,570,570,570.0,USDA1021_03667,WSM1022_03553
uvrD,uvrD,DNA helicase II,2,2,1.0,2,21,,,,2070,2070,2070.0,USDA1021_03671,WSM1022_03549
group_4170,,hypothetical protein,2,2,1.0,2,19,,,,1245,1245,1245.0,USDA1021_03676,WSM1022_03540
group_4169,,hypothetical protein,2,2,1.0,2,18,,,,648,648,648.0,USDA1021_03672,WSM1022_03548
group_4168,,hypothetical protein,2,2,1.0,2,17,,,,528,531,529.5,USDA1021_03661,WSM1022_03568
kdpE,kdpE,Transcriptional regulatory protein KdpE,2,2,1.0,2,14,,,,693,693,693.0,USDA1021_03669,WSM1022_03551
kdpB,kdpB,Potassium-transporting ATPase ATP-binding subunit,2,2,1.0,2,13,,,,2043,2043,2043.0,USDA1021_03666,WSM1022_03554
group_4165,,hypothetical protein,2,2,1.0,2,9,,,,441,441,441.0,USDA1021_03670,WSM1022_03550
paoA_1,paoA_1,Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA,2,2,1.0,2,8,,,,636,636,636.0,USDA1021_03658,WSM1022_03571
group_4164,,putative oxidoreductase,2,2,1.0,2,7,,,,723,723,723.0,USDA1021_03662,WSM1022_03567
group_4163,,hypothetical protein,2,2,1.0,2,4,,,,423,423,423.0,USDA1021_03660,WSM1022_03569
maiA_1,maiA_1;,Maleate isomerase;hypothetical protein,2,3,1.5,1,7429,,,,120,771,446.25,USDA1021_04011;USDA1021_04012,WSM1022_03935
group_4161,,hypothetical protein,2,2,1.0,1,7428,,,,522,522,522.0,USDA1021_00257,WSM1022_01986
group_4160,,hypothetical protein,2,2,1.0,1,7427,,,,963,963,963.0,USDA1021_00258,WSM1022_01985
group_4159,,hypothetical protein,2,2,1.0,1,7426,,,,318,345,331.5,USDA1021_04098,WSM1022_04011
group_4158,,hypothetical protein,2,2,1.0,1,7425,,,,213,213,213.0,USDA1021_05020,WSM1022_03607
group_4157,,hypothetical protein,2,2,1.0,1,7424,,,,528,528,528.0,USDA1021_00259,WSM1022_01984
group_4156,,hypothetical protein,2,2,1.0,1,7423,,,,522,522,522.0,USDA1021_03476,WSM1022_03831
group_4155,,hypothetical protein,2,2,1.0,1,7422,,,,186,219,202.5,USDA1021_03813,WSM1022_04688
group_4154,,ISNCY family transposase ISRm17;ISNCY family transposase ISRsp17,2,2,1.0,1,7421,,,,1335,1350,1342.5,USDA1021_03543,WSM1022_03813
group_4153,,hypothetical protein,2,2,1.0,1,7420,,,,117,219,168.0,USDA1021_06763,WSM1022_06335
group_4152,,hypothetical protein,2,2,1.0,1,7419,,,,384,384,384.0,USDA1021_05016,WSM1022_03610
group_4151,,putative flavin reductase,2,3,1.5,1,7418,,,,330,681,452.0,USDA1021_04671;USDA1021_04670,WSM1022_04535
group_4150,,hypothetical protein,2,2,1.0,1,7417,,,,2271,2535,2403.0,USDA1021_04974,WSM1022_03663
group_4149,,hypothetical protein,2,2,1.0,1,7416,,,,102,105,103.5,USDA1021_06762,WSM1022_06334
group_4148,,putative protein,2,2,1.0,1,7415,,,,1068,1068,1068.0,USDA1021_05015,WSM1022_03611
group_4147,,hypothetical protein,2,2,1.0,1,7414,,,,378,378,378.0,USDA1021_05014,WSM1022_03612
group_4146,,hypothetical protein,2,2,1.0,1,7413,,,,378,378,378.0,USDA1021_06659,WSM1022_06265
group_4145,,hypothetical protein,2,3,1.5,1,7412,,,,102,1077,477.0,USDA1021_04191;USDA1021_04192,WSM1022_04093
group_4144,,hypothetical protein,2,2,1.0,1,7411,,,,111,111,111.0,USDA1021_06059,WSM1022_05670
group_4143,,hypothetical protein,2,2,1.0,1,7410,,,,102,102,102.0,USDA1021_03466,WSM1022_03842
ros_2,ros_2,Transcriptional regulatory protein ros,2,2,1.0,1,7409,,,,450,450,450.0,USDA1021_03467,WSM1022_03841
group_4142,,hypothetical protein,2,2,1.0,1,7408,,,,219,219,219.0,USDA1021_04099,WSM1022_04014
group_4141,,hypothetical protein,2,2,1.0,1,7407,,,,213,213,213.0,USDA1021_04100,WSM1022_04015
fixJ_2~~~fixJ_3,fixJ_2;fixJ_3,Transcriptional regulatory protein FixJ,2,2,1.0,1,7406,,,,351,351,351.0,USDA1021_04669,WSM1022_04534
group_4140,,hypothetical protein,2,2,1.0,1,7405,,,,2475,4863,3669.0,USDA1021_01792,WSM1022_00229
ligD_3~~~ligD_8,ligD_3;ligD_8,Multifunctional non-homologous end joining protein LigD,2,2,1.0,1,7404,,,,1887,1887,1887.0,USDA1021_06648,WSM1022_06255
group_4139,,hypothetical protein,2,2,1.0,1,7403,,,,570,591,580.5,USDA1021_06658,WSM1022_06264
