MtrunA17r5.0-ANR gene ID	Noble reannotated genome transcript ID
MtrunA17_Chr3g0103871	Medtr3g462500.1
MtrunA17_Chr5g0431661	Medtr5g073280.1
MtrunA17_Chr1g0165361	Medtr1g039410.1
MtrunA17_Chr4g0004671	Medtr4g012950.1
MtrunA17_Chr3g0115001	Medtr3g072920.1
MtrunA17_Chr3g0096411	Medtr3g048000.1
MtrunA17_Chr7g0221621	Medtr7g021380.1
MtrunA17_Chr8g0363021	Medtr0070s0040.1
MtrunA17_Chr4g0072761	Medtr4g128690.1
MtrunA17_Chr1g0154691	Medtr1g022015.1
MtrunA17_Chr4g0048161	Medtr4g090970.1
MtrunA17_Chr5g0439341	Medtr5g085800.1
MtrunA17_Chr8g0380051	Medtr8g087910.1
MtrunA17_Chr3g0116061	Medtr3g074960.1
MtrunA17_Chr8g0353351	Medtr8g039800.1
MtrunA17_Chr2g0297511	Medtr2g438440.1
MtrunA17_Chr5g0441691	Medtr5g089320.1
MtrunA17_Chr8g0374551	Medtr8g079520.1
MtrunA17_Chr6g0449571	Medtr6g004970.1
MtrunA17_Chr2g0282281	Medtr2g013740.1
MtrunA17_Chr3g0131981	Medtr3g098960.2
MtrunA17_Chr8g0351271	Medtr8g035630.1
MtrunA17_Chr4g0067351	Medtr4g119900.1
MtrunA17_Chr5g0422851	Medtr5g054985.1
MtrunA17_Chr1g0184711	Medtr1g070460.1
MtrunA17_Chr1g0182441	Medtr2g026010.1
MtrunA17_CPg0493041	Medtr4g051130.1
MtrunA17_Chr2g0322691	Medtr2g088450.11
MtrunA17_Chr8g0355801	Medtr8g045665.1
MtrunA17_Chr3g0142591	Medtr3g113810.1
MtrunA17_Chr1g0189161	Medtr1g078030.1
MtrunA17_Chr4g0026351	Medtr4g053310.1
MtrunA17_Chr8g0371131	Medtr8g074730.1
MtrunA17_Chr1g0173801	Medtr8g442260.1
MtrunA17_Chr4g0055821	Medtr4g100500.1
MtrunA17_Chr2g0280641	Medtr2g011080.1
MtrunA17_Chr7g0223721	Medtr7g025770.1
MtrunA17_Chr3g0141131	Medtr3g111350.1
MtrunA17_Chr8g0341481	Medtr8g015530.1
MtrunA17_Chr8g0363191	Medtr8g469650.1
MtrunA17_Chr1g0157241	Medtr1g026160.6
MtrunA17_Chr1g0180041	Medtr7g076885.1
MtrunA17_Chr3g0132671	Medtr3g099920.1
MtrunA17_Chr8g0360221	Medtr8g061040.1
MtrunA17_Chr3g0129401	Medtr3g095130.1
MtrunA17_Chr4g0004871	Medtr4g013240.1
MtrunA17_Chr1g0186811	Medtr1g074880.1
MtrunA17_Chr3g0105601	Medtr3g464950.1
MtrunA17_Chr3g0110991	Medtr8g069277.1
MtrunA17_Chr2g0299271	Medtr2g039250.1
MtrunA17_Chr3g0136751	Medtr3g105790.1
MtrunA17_Chr5g0438491	Medtr5g084530.1
MtrunA17_Chr4g0005851	Medtr4g014990.1
MtrunA17_Chr6g0471101	Medtr6g045293.1
MtrunA17_Chr3g0093831	Medtr3g045450.1
MtrunA17_Chr7g0252431	MT35v5_contig_57163_1.1
MtrunA17_Chr8g0377431	Medtr8g080690.1
MtrunA17_Chr2g0305811	Medtr6g051405.1
MtrunA17_Chr4g0026511	Medtr4g053180.1
MtrunA17_Chr3g0139231	Medtr3g109260.1
MtrunA17_Chr6g0481691	Medtr6g079730.1
MtrunA17_Chr4g0074521	Medtr4g131750.1
MtrunA17_Chr7g0222031	Medtr7g021770.1
MtrunA17_Chr2g0320271	Medtr2g084270.1
MtrunA17_Chr3g0092221	Medtr3g435680.1
MtrunA17_Chr4g0064511	Medtr4g115630.1
MtrunA17_Chr8g0344921	Medtr8g022770.1
MtrunA17_Chr5g0438811	Medtr5g085070.1
MtrunA17_Chr2g0325761	Medtr2g091330.1
MtrunA17_Chr3g0127261	MT35v5_Medtr3g091930.1
MtrunA17_Chr1g0210531	Medtr1g111900.1
MtrunA17_Chr2g0326711	Medtr2g094470.1
MtrunA17_Chr8g0387321	Medtr8g098815.1
MtrunA17_Chr1g0192411	Medtr1g083630.1
MtrunA17_Chr4g0072851	Medtr4g128840.1
MtrunA17_Chr2g0287311	Medtr2g021480.1
MtrunA17_Chr5g0401301	Medtr5g015720.1
MtrunA17_Chr4g0073401	Medtr4g129930.1
MtrunA17_Chr2g0332281	Medtr2g102730.1
MtrunA17_Chr8g0349831	Medtr8g032020.1
MtrunA17_Chr6g0485111	Medtr6g086060.1
MtrunA17_Chr8g0391571	Medtr8g105060.1
MtrunA17_Chr6g0480751	Medtr6g075410.1
MtrunA17_Chr1g0203821	Medtr1g101540.1
MtrunA17_Chr1g0189221	Medtr1g078090.1
MtrunA17_Chr3g0121071	Medtr3g083250.1
MtrunA17_Chr2g0279891	MT4Noble_007895.1
MtrunA17_Chr8g0336541	Medtr8g008810.1
MtrunA17_Chr2g0290821	Medtr2g027560.1
MtrunA17_Chr1g0212841	Medtr1g115500.1
MtrunA17_Chr6g0472331	Medtr0022s0200.1
MtrunA17_Chr5g0416521	Medtr3g463780.1
MtrunA17_Chr1g0211361	Medtr1g112940.1
MtrunA17_Chr3g0095391	Medtr3g449770.1
MtrunA17_Chr4g0076551	Medtr4g134250.1
MtrunA17_Chr4g0009721	Medtr4g021535.2
MtrunA17_Chr5g0394481	Medtr5g006320.1
MtrunA17_Chr5g0411511	Medtr5g030740.1
MtrunA17_Chr4g0034491	Medtr4g069090.1
MtrunA17_Chr8g0381161	Medtr8g089530.1
MtrunA17_Chr3g0101841	Medtr3g058410.1
MtrunA17_Chr8g0378251	Medtr1g111160.7
MtrunA17_Chr5g0400681	Medtr5g014700.1
MtrunA17_Chr7g0263181	Medtr7g100328.1
MtrunA17_Chr4g0073391	Medtr4g129920.1
MtrunA17_Chr4g0033771	Medtr4g068020.1
MtrunA17_Chr1g0197411	Medtr1g090760.1
MtrunA17_Chr1g0177721	MT4Noble_033167.1
MtrunA17_Chr4g0058541	Medtr4g105010.1
MtrunA17_Chr3g0135081	MT4Noble_051858.1
MtrunA17_Chr3g0117921	Medtr3g078250.1
MtrunA17_Chr8g0389201	Medtr8g101580.1
MtrunA17_Chr0c01g0489611	Medtr5g072480.2
MtrunA17_Chr4g0053431	Medtr4g094982.1
MtrunA17_Chr7g0229811	Medtr1g025200.1
MtrunA17_Chr8g0384941	Medtr8g094905.1
MtrunA17_Chr2g0288871	Medtr2g023930.1
MtrunA17_Chr7g0264181	Medtr7g101290.1
MtrunA17_Chr2g0278221	Medtr2g007610.1
MtrunA17_Chr3g0139281	Medtr3g109300.1
MtrunA17_Chr7g0251321	Medtr7g082800.1
MtrunA17_Chr1g0185921	Medtr1g072800.1
MtrunA17_Chr1g0165921	Medtr1g040555.1
MtrunA17_Chr8g0346631	MT35v5_contig_128265_1.1
MtrunA17_Chr5g0438391	Medtr5g084260.1
MtrunA17_Chr1g0157501	Medtr1g026590.1
MtrunA17_Chr2g0323111	Medtr2g089100.1
MtrunA17_Chr6g0488671	Medtr6g092820.1
MtrunA17_Chr3g0082081	Medtr3g014030.1
MtrunA17_Chr5g0421031	Medtr5g048560.1
MtrunA17_Chr8g0389491	Medtr8g102032.1
MtrunA17_Chr3g0118571	Medtr3g079380.1
MtrunA17_CPg0493051	Medtr4g051130.1
MtrunA17_Chr6g0454721	Medtr6g015290.1
MtrunA17_Chr2g0330071	Medtr2g099810.1
MtrunA17_Chr1g0161971	Medtr1g033440.1
MtrunA17_Chr8g0360021	MT35v5_contig_84035_1.1
MtrunA17_Chr6g0482311	Medtr6g078875.1
MtrunA17_Chr4g0014181	Medtr4g032370.1
MtrunA17_Chr8g0336251	Medtr8g007650.1
MtrunA17_Chr3g0078431	Medtr3g007360.1
MtrunA17_Chr7g0261291	Medtr7g096940.1
MtrunA17_Chr1g0182351	MT4Noble_007544.1
MtrunA17_Chr8g0339361	Medtr8g012600.1
MtrunA17_Chr5g0418751	Medtr5g043850.1
MtrunA17_Chr1g0186251	Medtr1g073510.1
MtrunA17_Chr3g0092501	Medtr3g040370.1
MtrunA17_Chr1g0161491	Medtr1g032630.1
MtrunA17_Chr3g0082061	Medtr3g014010.1
MtrunA17_Chr6g0453471	Medtr6g012690.1
MtrunA17_Chr1g0180131	Medtr1g062620.1
MtrunA17_Chr5g0411941	Medtr5g031430.1
MtrunA17_Chr3g0097901	Medtr7g113270.1
MtrunA17_Chr3g0098141	Medtr3g050060.1
MtrunA17_Chr2g0319981	Medtr2g083920.1
MtrunA17_Chr2g0284411	Medtr2g017970.1
MtrunA17_Chr2g0332011	Medtr2g102340.1
MtrunA17_Chr3g0085781	Medtr3g023010.1
MtrunA17_Chr3g0123941	MT35v5_Medtr3g087120.1
MtrunA17_Chr3g0103241	Medtr3g461460.1
MtrunA17_Chr4g0034071	Medtr4g068570.1
MtrunA17_Chr8g0367821	MT4Noble_035658.1
MtrunA17_Chr1g0152121	Medtr1g017320.1
MtrunA17_Chr7g0231181	Medtr0160s0030.1
MtrunA17_Chr6g0475551	Medtr0337s0030.1
MtrunA17_Chr3g0098171	MT4Noble_016115.1
MtrunA17_Chr4g0060521	Medtr4g108260.1
MtrunA17_Chr7g0228231	Medtr7g035075.1
MtrunA17_Chr4g0008321	Medtr4g019060.1
MtrunA17_Chr2g0313631	Medtr2g072180.1
MtrunA17_Chr2g0282001	Medtr2g013250.1
MtrunA17_Chr5g0406001	Medtr5g022880.1
MtrunA17_Chr4g0013971	Medtr4g031680.1
MtrunA17_Chr8g0366401	Medtr8g066630.1
MtrunA17_Chr6g0468391	Medtr0256s0050.1
MtrunA17_Chr5g0427601	Medtr5g066420.1
MtrunA17_Chr6g0448901	Medtr6g004020.1
MtrunA17_Chr1g0197601	Medtr1g090853.1
MtrunA17_Chr3g0096511	Medtr5g075540.1
MtrunA17_Chr4g0059801	Medtr4g107360.1
MtrunA17_Chr6g0484461	Medtr6g084440.1
MtrunA17_Chr1g0194701	Medtr1g087060.1
MtrunA17_Chr4g0048111	Medtr4g090890.1
MtrunA17_Chr8g0353791	Medtr8g040630.1
MtrunA17_Chr6g0464911	Medtr6g038290.1
MtrunA17_Chr4g0069001	Medtr4g123600.1
MtrunA17_Chr5g0403201	Medtr5g018770.1
MtrunA17_Chr7g0230641	Medtr0108s0030.1
MtrunA17_Chr8g0369311	Medtr8g071040.1
MtrunA17_Chr8g0336581	Medtr8g008820.1
MtrunA17_Chr1g0191161	Medtr1g081780.1
MtrunA17_Chr5g0406721	Medtr5g023770.1
MtrunA17_Chr4g0054761	Medtr4g098610.1
MtrunA17_Chr4g0018461	Medtr3g117700.1
MtrunA17_Chr3g0123341	Medtr3g086330.1
MtrunA17_Chr8g0387771	Medtr8g099185.1
MtrunA17_Chr5g0447241	Medtr5g096855.1
MtrunA17_Chr5g0395181	Medtr5g007230.1
MtrunA17_Chr2g0331971	Medtr2g102273.1
MtrunA17_Chr8g0338141	Medtr4g118660.1
MtrunA17_Chr5g0431331	Medtr5g072735.1
MtrunA17_Chr3g0110351	Medtr3g065440.1
MtrunA17_Chr3g0103971	Medtr3g462610.1
MtrunA17_Chr2g0330691	Medtr2g100450.1
MtrunA17_Chr7g0267391	Medtr7g106140.1
MtrunA17_Chr5g0398981	Medtr5g012110.1
MtrunA17_Chr3g0130061	Medtr3g096050.1
MtrunA17_Chr5g0404691	Medtr5g021020.1
MtrunA17_Chr1g0177621	Medtr0236s0050.1
MtrunA17_Chr7g0271021	Medtr7g111030.1
MtrunA17_Chr5g0434861	Medtr5g078910.1
MtrunA17_Chr1g0210851	Medtr1g112310.1
MtrunA17_Chr5g0405601	Medtr5g022340.1
MtrunA17_Chr2g0322531	Medtr2g088190.1
MtrunA17_Chr2g0292591	Medtr2g030460.1
MtrunA17_Chr6g0453181	Medtr6g012110.1
MtrunA17_Chr4g0018911	Medtr4g036835.1
MtrunA17_Chr1g0171111	Medtr1g050425.3
MtrunA17_Chr3g0086491	Medtr3g024110.1
MtrunA17_Chr8g0382331	Medtr8g090275.1
MtrunA17_Chr3g0091921	Medtr3g435150.1
MtrunA17_Chr4g0071581	Medtr4g127120.1
MtrunA17_Chr7g0271201	Medtr7g111230.1
MtrunA17_Chr4g0028261	Medtr4g057585.1
MtrunA17_Chr4g0059841	Medtr4g107400.1
MtrunA17_Chr6g0451131	Medtr6g007720.1
MtrunA17_Chr1g0173511	Medtr1g052505.1
MtrunA17_Chr1g0209691	Medtr1g110510.1
MtrunA17_Chr4g0023561	Medtr0015s0160.1
MtrunA17_Chr1g0155181	Medtr1g022290.1
MtrunA17_Chr4g0065701	Medtr4g117290.1
MtrunA17_Chr6g0482351	Medtr6g078930.1
MtrunA17_Chr4g0040621	Medtr4g079160.1
MtrunA17_Chr8g0365101	Medtr8g064020.1
MtrunA17_Chr4g0043361	Medtr1g101850.1
MtrunA17_Chr3g0082691	Medtr3g464190.1
MtrunA17_Chr3g0115111	Medtr3g073100.1
MtrunA17_Chr1g0157021	Medtr1g025950.1
MtrunA17_Chr2g0311851	MT35v5_Medtr2g069200.1
MtrunA17_Chr3g0137821	Medtr3g107360.1
MtrunA17_Chr3g0077961	Medtr3g006210.1
MtrunA17_Chr2g0294931	Medtr2g035020.1
MtrunA17_Chr2g0311341	Medtr2g066830.1
MtrunA17_Chr2g0281341	Medtr2g012470.1
MtrunA17_Chr3g0142891	Medtr3g114060.1
MtrunA17_Chr7g0236661	Medtr7g056670.1
MtrunA17_Chr2g0294281	Medtr2g033900.1
MtrunA17_Chr4g0073821	Medtr4g130675.1
MtrunA17_Chr8g0339961	Medtr8g013040.1
MtrunA17_Chr8g0338461	Medtr8g011350.1
MtrunA17_Chr1g0189411	Medtr1g078280.1
MtrunA17_Chr3g0134011	Medtr3g101820.1
MtrunA17_Chr5g0437101	Medtr5g082630.1
MtrunA17_Chr5g0409271	Medtr5g026800.1
MtrunA17_Chr3g0139701	Medtr3g110038.1
MtrunA17_Chr5g0433731	Medtr5g076820.1
MtrunA17_Chr1g0191441	Medtr1g082380.1
MtrunA17_Chr2g0319811	Medtr2g083510.1
MtrunA17_Chr3g0084551	Medtr3g019810.1
MtrunA17_Chr7g0223381	Medtr7g024867.1
MtrunA17_Chr4g0060151	Medtr4g107810.1
MtrunA17_Chr7g0227231	Medtr7g033475.1
MtrunA17_Chr8g0356491	MT35v5_contig_49341_3.1
MtrunA17_Chr5g0395531	Medtr5g007723.1
MtrunA17_Chr3g0105971	Medtr3g031770.1
MtrunA17_Chr5g0418441	Medtr5g043450.1
MtrunA17_Chr2g0291731	Medtr2g028940.1
MtrunA17_Chr7g0273911	Medtr7g114810.1
MtrunA17_Chr5g0419031	Medtr5g044260.1
MtrunA17_Chr5g0403471	Medtr5g019165.1
MtrunA17_Chr4g0029501	Medtr4g059840.1
MtrunA17_Chr7g0256791	Medtr7g090560.1
MtrunA17_Chr3g0078181	Medtr3g006570.1
MtrunA17_Chr1g0210821	Medtr1g112270.1
MtrunA17_Chr8g0362831	Medtr8g470390.1
MtrunA17_Chr3g0128091	Medtr3g093020.1
MtrunA17_Chr5g0425201	Medtr5g061763.1
MtrunA17_Chr3g0114341	Medtr3g072105.1
MtrunA17_Chr5g0422481	Medtr5g053610.1
MtrunA17_Chr0c04g0492091	Medtr4g034790.1
MtrunA17_Chr1g0166291	Medtr1g041300.1
MtrunA17_Chr3g0109701	Medtr3g064370.1
MtrunA17_Chr4g0062331	Medtr4g112340.1
MtrunA17_Chr5g0425541	Medtr5g062660.1
MtrunA17_Chr2g0319341	Medtr2g082730.1
MtrunA17_Chr7g0256681	Medtr7g090420.1
MtrunA17_Chr8g0387391	Medtr8g098840.1
MtrunA17_Chr4g0050951	Medtr4g094355.1
MtrunA17_Chr4g0031841	Medtr4g064380.1
MtrunA17_Chr4g0001001	Medtr4g006350.1
MtrunA17_Chr3g0095201	Medtr3g449540.1
MtrunA17_Chr8g0387451	Medtr8g098895.1
MtrunA17_Chr3g0137121	Medtr3g106240.1
MtrunA17_Chr4g0027431	Medtr4g056020.2
MtrunA17_Chr5g0431451	Medtr5g072900.1
MtrunA17_Chr3g0105781	Medtr3g465390.1
MtrunA17_Chr6g0469511	Medtr6g049220.1
MtrunA17_Chr3g0099231	Medtr3g052580.1
MtrunA17_Chr6g0479181	Medtr6g071190.1
MtrunA17_Chr7g0253931	Medtr7g086410.1
MtrunA17_Chr1g0179631	MT35v5_Medtr1g061720.1
MtrunA17_Chr7g0229901	Medtr1g025200.1
MtrunA17_Chr8g0334491	Medtr8g006680.1
MtrunA17_Chr3g0092211	Medtr3g435660.1
MtrunA17_Chr7g0223671	MT35v5_Medtr7g025850.1
MtrunA17_Chr7g0261641	Medtr7g098010.2
MtrunA17_Chr3g0085881	Medtr3g023220.1
MtrunA17_Chr4g0064391	Medtr4g115420.1
MtrunA17_Chr7g0222841	Medtr7g023590.1
MtrunA17_Chr3g0096641	Medtr3g089510.1
MtrunA17_Chr3g0138441	Medtr3g107980.1
MtrunA17_Chr4g0063841	Medtr4g114640.1
MtrunA17_Chr4g0063771	Medtr4g114580.1
MtrunA17_Chr2g0290101	Medtr2g026040.1
MtrunA17_Chr1g0191971	MT35Noble_002920.1
MtrunA17_Chr7g0217641	Medtr7g011040.1
MtrunA17_Chr6g0460991	Medtr6g027770.1
MtrunA17_Chr2g0302541	Medtr0284s0010.1
MtrunA17_Chr3g0134791	Medtr3g103090.1
MtrunA17_Chr5g0448661	Medtr5g099130.1
MtrunA17_Chr3g0091971	Medtr3g435220.1
MtrunA17_Chr1g0209501	Medtr1g110260.1
MtrunA17_Chr8g0384711	Medtr8g094560.1
MtrunA17_Chr6g0476001	Medtr6g061840.1
MtrunA17_Chr3g0100171	Medtr3g055020.1
MtrunA17_Chr5g0432821	Medtr5g075570.1
MtrunA17_Chr2g0303821	Medtr2g048870.1
MtrunA17_Chr7g0220881	Medtr7g018380.1
MtrunA17_Chr3g0127731	Medtr3g092460.2
MtrunA17_Chr5g0415321	Medtr5g037270.1
MtrunA17_Chr7g0237541	Medtr2g435600.1
MtrunA17_Chr4g0066721	Medtr4g118810.1
MtrunA17_Chr2g0296601	Medtr2g437730.1
MtrunA17_Chr3g0112511	Medtr3g069210.1
MtrunA17_Chr1g0169871	Medtr1g047730.1
MtrunA17_Chr5g0421711	Medtr4g050863.1
MtrunA17_Chr8g0376151	MT35v5_contig_74710_1.1
MtrunA17_Chr3g0120011	Medtr3g081030.1
MtrunA17_Chr1g0197031	Medtr1g090480.1
MtrunA17_Chr1g0178291	Medtr1g059590.2
MtrunA17_Chr5g0431621	MT35Noble_028360.1
MtrunA17_Chr3g0110061	Medtr3g064980.1
MtrunA17_Chr3g0145251	Medtr3g117490.1
MtrunA17_Chr6g0471611	MT35v5_contig_74010_1.1
MtrunA17_Chr4g0024201	Medtr4g046767.1
MtrunA17_Chr7g0265601	Medtr7g103440.1
MtrunA17_Chr8g0378021	Medtr8g083150.2
MtrunA17_Chr4g0037561	Medtr4g074080.1
MtrunA17_Chr3g0134591	Medtr3g102780.1
MtrunA17_Chr5g0413031	Medtr5g033340.1
MtrunA17_Chr8g0366731	Medtr8g471110.1
MtrunA17_Chr8g0378001	Medtr8g083160.1
MtrunA17_Chr4g0041141	Medtr4g079930.1
MtrunA17_Chr5g0411241	Medtr5g030310.1
MtrunA17_Chr4g0068441	Medtr4g122200.1
MtrunA17_Chr4g0013121	Medtr4g029010.1
MtrunA17_Chr2g0283861	Medtr2g016110.1
MtrunA17_Chr1g0204471	Medtr1g102510.1
MtrunA17_Chr2g0326111	MT35v5_Medtr2g093500.1
MtrunA17_Chr1g0156061	Medtr1g023700.1
MtrunA17_Chr4g0011981	Medtr4g026200.1
MtrunA17_Chr7g0263541	Medtr7g100530.1
MtrunA17_Chr7g0232841	Medtr7g445710.1
MtrunA17_Chr8g0354681	Medtr8g042440.1
MtrunA17_Chr4g0067041	Medtr4g119428.1
MtrunA17_Chr8g0353271	Medtr8g039560.1
MtrunA17_Chr3g0138201	Medtr3g107770.1
MtrunA17_Chr1g0192771	Medtr1g084040.1
MtrunA17_Chr7g0265771	Medtr7g103680.1
MtrunA17_Chr7g0247191	Medtr7g076820.1
MtrunA17_Chr6g0464271	Medtr6g037010.1
MtrunA17_Chr4g0069381	Medtr4g124020.1
MtrunA17_Chr2g0290371	Medtr2g026420.1
MtrunA17_Chr3g0077941	Medtr3g006185.1
MtrunA17_Chr5g0408021	Medtr5g025350.1
MtrunA17_Chr4g0075241	Medtr4g132490.1
MtrunA17_Chr8g0347601	Medtr8g028075.1
MtrunA17_Chr1g0148141	Medtr1g009900.1
MtrunA17_Chr6g0456861	Medtr6g017010.1
MtrunA17_Chr7g0233361	Medtr7g451450.1
MtrunA17_Chr4g0058091	Medtr4g104380.1
MtrunA17_Chr4g0048411	Medtr4g091370.1
MtrunA17_Chr2g0291141	Medtr2g028130.1
MtrunA17_Chr6g0481411	Medtr6g478120.1
