locus_tag	ftype	length_bp	gene	EC_number	COG	product
USDA1021_00027	CDS	2064	FCS1	6.2.1.34		Trans-feruloyl-CoA synthase FCS1
USDA1021_00028	CDS	1161	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
USDA1021_00029	CDS	1491	lcdH	1.1.1.108		L-carnitine dehydrogenase
USDA1021_00030	CDS	903	kce_1	2.3.1.247	COG3246	3-keto-5-aminohexanoate cleavage enzyme
USDA1021_00031	CDS	972	cdhR_1		COG4977	HTH-type transcriptional regulator CdhR
USDA1021_00032	CDS	762	bacC_1	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
USDA1021_00033	CDS	819	ydcV_2			Inner membrane ABC transporter permease protein YdcV
USDA1021_00034	CDS	867	potB_1		COG1176	Spermidine/putrescine transport system permease protein PotB
USDA1021_00035	CDS	1164	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
USDA1021_00036	CDS	1122	potA_2	7.6.2.11		Spermidine/putrescine import ATP-binding protein PotA
USDA1021_00037	CDS	804				hypothetical protein
USDA1021_00038	CDS	960	eryD_1		COG2390	Erythritol catabolism regulatory protein EryD
USDA1021_00039	CDS	1446	eltP			Erythritol/L-threitol-binding protein
USDA1021_00040	CDS	924	sugA_1		COG1175	Trehalose transport system permease protein SugA
USDA1021_00041	CDS	858	sugB_1		COG0395	Trehalose transport system permease protein SugB
USDA1021_00042	CDS	1119	ugpC_1	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
USDA1021_00043	CDS	1125	sugC_1	3.6.3.-	COG3839	Trehalose import ATP-binding protein SugC
USDA1021_00044	CDS	1578	eryA	2.7.1.215		Erythritol kinase
USDA1021_00045	CDS	1038		1.17.1.9		Formate dehydrogenase, mitochondrial
USDA1021_00046	CDS	669	ald2_1	4.1.2.-	COG0235	5-(methylthio)ribulose-1-phosphate aldolase
USDA1021_00047	CDS	1539	eryB_1	1.1.1.402	COG0578	D-erythritol 1-phosphate dehydrogenase
USDA1021_00048	CDS	1056				hypothetical protein
USDA1021_00049	CDS	1284	PSK	2.7.1.47	COG1070	D-ribulose kinase
USDA1021_00050	CDS	846		3.1.3.21	COG0647	D,L-glycerol 3-phosphate phosphatase
USDA1021_00051	CDS	939	eryC	5.1.3.38		D-erythrulose 1-phosphate 3-epimerase
USDA1021_00052	CDS	786	glpR_1		COG1349	Glycerol-3-phosphate regulon repressor
USDA1021_00053	CDS	768	eryH	5.3.1.33		L-erythrulose-1-phosphate isomerase
USDA1021_00054	CDS	438	eryI	5.3.1.34	COG0698	D-erythrulose-4-phosphate isomerase
USDA1021_00055	CDS	1164			COG3385	IS4 family transposase ISRm16
USDA1021_00056	CDS	1197				IS256 family transposase ISRm5
USDA1021_00057	CDS	2211	fhuA_2		COG1629	Ferrichrome outer membrane transporter/phage receptor
USDA1021_00058	CDS	885	rhaS_1			HTH-type transcriptional activator RhaS
USDA1021_00059	CDS	474	ribH2	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase 2
USDA1021_00060	CDS	1062	potA_3	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
USDA1021_00061	CDS	789				hypothetical protein
USDA1021_00062	CDS	882	cysW_1		COG4208	Sulfate transport system permease protein CysW
USDA1021_00063	CDS	1104			COG1840	putative protein
USDA1021_00064	CDS	879				hypothetical protein
USDA1021_00065	CDS	774				hypothetical protein
USDA1021_00066	CDS	1548				hypothetical protein
USDA1021_00067	CDS	1365	ipuC	6.3.2.-		Glutamate--isopropylamine ligase
USDA1021_00068	CDS	1386	ald_1	1.2.99.10		4,4'-diapolycopene aldehyde oxidase
USDA1021_00069	CDS	1146	mdh_1	1.1.1.244		NAD-dependent methanol dehydrogenase
USDA1021_00070	CDS	717				hypothetical protein
USDA1021_00071	CDS	1290	puuB_1	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
USDA1021_00072	CDS	1407				hypothetical protein
USDA1021_00073	CDS	837				hypothetical protein
USDA1021_00074	CDS	339	blh_1	3.-.-.-	COG0491	Beta-lactamase hydrolase-like protein
USDA1021_00075	CDS	1647	ilvG	2.2.1.6		Acetolactate synthase isozyme 2 large subunit
USDA1021_00076	CDS	954	ribN_1			Riboflavin transporter
USDA1021_00077	CDS	945		3.1.1.23	COG2267	Monoacylglycerol lipase
USDA1021_00078	CDS	768	rna	4.6.1.21	COG3719	Ribonuclease I
USDA1021_00079	CDS	1650	ettA		COG0488	Energy-dependent translational throttle protein EttA
USDA1021_00080	CDS	1023	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
USDA1021_00081	CDS	942	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
USDA1021_00082	CDS	945	yijE			putative cystine transporter YijE
USDA1021_00083	CDS	1218				Tn3 family transposase TnXax1
USDA1021_00084	CDS	786				hypothetical protein
USDA1021_00085	CDS	666	COQ5_2	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
USDA1021_00086	CDS	1251				hypothetical protein
USDA1021_00087	CDS	1362				hypothetical protein
USDA1021_00088	CDS	1002				hypothetical protein
USDA1021_00089	CDS	636	rhtB_1		COG1280	Homoserine/homoserine lactone efflux protein
USDA1021_00090	CDS	1215	pfp	2.7.1.90		Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
USDA1021_00091	CDS	708	djlA		COG1076	Co-chaperone protein DjlA
USDA1021_00092	CDS	765	amiD_1	3.5.1.28	COG3023	N-acetylmuramoyl-L-alanine amidase AmiD
USDA1021_00093	CDS	540	mltC	4.2.2.-		Membrane-bound lytic murein transglycosylase C
USDA1021_00094	CDS	1188	soxA_1	1.5.3.1		Monomeric sarcosine oxidase
USDA1021_00095	CDS	561				hypothetical protein
USDA1021_00096	CDS	441	mraZ		COG2001	Transcriptional regulator MraZ
USDA1021_00097	CDS	1026	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
USDA1021_00098	CDS	396				hypothetical protein
USDA1021_00099	CDS	1749	ftsI_1	3.4.16.4		putative peptidoglycan D,D-transpeptidase FtsI
USDA1021_00100	CDS	1461	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
USDA1021_00101	CDS	1434	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
USDA1021_00102	CDS	1101	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
USDA1021_00103	CDS	1392	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
USDA1021_00104	CDS	1155	ftsW	2.4.1.129		putative peptidoglycan glycosyltransferase FtsW
USDA1021_00105	CDS	1125	murG_1	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
USDA1021_00106	CDS	1416	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
USDA1021_00107	CDS	975	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
USDA1021_00108	CDS	1311	yhjE_1			Inner membrane metabolite transport protein YhjE
USDA1021_00109	CDS	687	aqpZ2_1			Aquaporin Z 2
USDA1021_00110	CDS	927	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
USDA1021_00111	CDS	930	ftsQ			Cell division protein FtsQ
USDA1021_00112	CDS	1329	ftsA		COG0849	Cell division protein FtsA
USDA1021_00113	CDS	1773	ftsZ_1			Cell division protein FtsZ
USDA1021_00114	CDS	954	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
USDA1021_00115	CDS	867	bamD		COG4105	Outer membrane protein assembly factor BamD
USDA1021_00116	CDS	1674	recN		COG0497	DNA repair protein RecN
USDA1021_00117	CDS	2154	ligA	6.5.1.2	COG0272	DNA ligase
USDA1021_00118	CDS	405				hypothetical protein
USDA1021_00119	CDS	876	panC	6.3.2.1	COG0414	Pantothenate synthetase
USDA1021_00120	CDS	822	panB	2.1.2.11		3-methyl-2-oxobutanoate hydroxymethyltransferase
USDA1021_00121	CDS	717	ygaZ_1		COG1296	Inner membrane protein YgaZ
USDA1021_00122	CDS	309				hypothetical protein
USDA1021_00123	CDS	240				hypothetical protein
USDA1021_00124	CDS	1836				hypothetical protein
USDA1021_00125	CDS	258				hypothetical protein
USDA1021_00126	CDS	876	prmC_1	2.1.1.297		Release factor glutamine methyltransferase
USDA1021_00127	CDS	600				hypothetical protein
USDA1021_00128	CDS	159				hypothetical protein
USDA1021_00129	CDS	2070				hypothetical protein
USDA1021_00130	CDS	465	cheW_1		COG0835	Chemotaxis protein CheW
USDA1021_00131	CDS	390				hypothetical protein
USDA1021_00132	CDS	360				hypothetical protein
USDA1021_00133	CDS	498				hypothetical protein
USDA1021_00134	CDS	1230				hypothetical protein
USDA1021_00135	CDS	711			COG1926	Putative phosphoribosyl transferase
USDA1021_00136	CDS	462				hypothetical protein
USDA1021_00137	CDS	2574	pcrA	3.6.4.12		ATP-dependent DNA helicase PcrA
USDA1021_00138	CDS	411				hypothetical protein
USDA1021_00139	CDS	336		3.5.2.20	COG1878	Isatin hydrolase
USDA1021_00140	CDS	522				hypothetical protein
USDA1021_00141	CDS	1197	mdtA_1			Multidrug resistance protein MdtA
USDA1021_00142	CDS	3135	mdtC_1		COG0841	Multidrug resistance protein MdtC
USDA1021_00143	CDS	435				hypothetical protein
USDA1021_00144	CDS	1407		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
USDA1021_00145	CDS	3705				hypothetical protein
USDA1021_00146	CDS	243				hypothetical protein
USDA1021_00147	CDS	216				hypothetical protein
USDA1021_00148	CDS	516				hypothetical protein
USDA1021_00149	tmRNA	339	ssrA			transfer-messenger RNA, SsrA
USDA1021_00150	CDS	309				hypothetical protein
USDA1021_00151	CDS	447				hypothetical protein
USDA1021_00152	CDS	207				hypothetical protein
USDA1021_00153	CDS	243				hypothetical protein
USDA1021_00154	CDS	219				hypothetical protein
USDA1021_00155	CDS	795	thyA	2.1.1.45	COG0207	Thymidylate synthase
USDA1021_00156	CDS	606	gstB_1	2.5.1.18	COG0625	Glutathione S-transferase GST-6.0
USDA1021_00157	CDS	564	dhfrIII	1.5.1.3		Dihydrofolate reductase type 3
USDA1021_00158	CDS	1089	hflK		COG0330	Modulator of FtsH protease HflK
USDA1021_00159	CDS	933	hflC		COG0330	Modulator of FtsH protease HflC
USDA1021_00160	CDS	186				hypothetical protein
USDA1021_00161	CDS	387				hypothetical protein
USDA1021_00162	CDS	1512	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
USDA1021_00163	CDS	576		2.3.1.-	COG1670	Acetyltransferase
USDA1021_00164	CDS	888				hypothetical protein
USDA1021_00165	CDS	909	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
USDA1021_00166	CDS	441				hypothetical protein
USDA1021_00167	CDS	351				hypothetical protein
USDA1021_00168	CDS	2037				hypothetical protein
USDA1021_00169	CDS	1779	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
USDA1021_00170	CDS	573	ilvH	2.2.1.6	COG0440	Acetolactate synthase small subunit
USDA1021_00171	CDS	333				hypothetical protein
USDA1021_00172	CDS	846		1.-.-.-	COG0656	putative oxidoreductase/MSMEI_2347
USDA1021_00173	CDS	210	cspA_1		COG1278	Cold shock protein CspA
USDA1021_00174	CDS	225				hypothetical protein
USDA1021_00175	CDS	729	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
USDA1021_00176	CDS	594	eamB		COG1280	Cysteine/O-acetylserine efflux protein
USDA1021_00177	CDS	642	nhhA	4.2.1.84		High-molecular weight cobalt-containing nitrile hydratase subunit alpha
USDA1021_00178	CDS	660	nthB	4.2.1.84		Nitrile hydratase subunit beta
USDA1021_00179	CDS	387				hypothetical protein
USDA1021_00180	CDS	810				hypothetical protein
USDA1021_00181	CDS	555	sigR		COG1595	ECF RNA polymerase sigma factor SigR
USDA1021_00182	CDS	375				hypothetical protein
USDA1021_00183	CDS	282				hypothetical protein
USDA1021_00184	CDS	360				hypothetical protein
USDA1021_00185	CDS	1089				hypothetical protein
USDA1021_00186	CDS	1233	recD2_1	3.6.4.12	COG0507	ATP-dependent RecD-like DNA helicase
USDA1021_00187	CDS	1902				hypothetical protein
USDA1021_00188	CDS	3075				hypothetical protein
USDA1021_00189	CDS	1230				hypothetical protein
USDA1021_00190	CDS	783				hypothetical protein
USDA1021_00191	CDS	1185				hypothetical protein
USDA1021_00192	CDS	696				hypothetical protein
USDA1021_00193	CDS	354				hypothetical protein
USDA1021_00194	CDS	240				hypothetical protein
USDA1021_00195	CDS	1107				hypothetical protein
USDA1021_00196	CDS	711				hypothetical protein
USDA1021_00197	CDS	753	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
USDA1021_00198	CDS	1419	ptsJ		COG1167	Vitamin B6 salvage pathway transcriptional repressor PtsJ
USDA1021_00199	CDS	423				hypothetical protein
USDA1021_00200	CDS	888	qorB	1.6.5.2	COG0702	Quinone oxidoreductase 2
USDA1021_00201	CDS	405				hypothetical protein
USDA1021_00202	CDS	705	ygeA	5.1.1.13		L-aspartate/glutamate-specific racemase
USDA1021_00203	CDS	465	decR_1		COG1522	DNA-binding transcriptional activator DecR
USDA1021_00204	CDS	1269	yjlD	1.6.99.-	COG1252	NADH dehydrogenase-like protein YjlD
USDA1021_00205	CDS	843				hypothetical protein
USDA1021_00206	CDS	204				hypothetical protein
USDA1021_00207	CDS	1464	csbC			putative metabolite transport protein CsbC
USDA1021_00208	CDS	660	hyuA_1	5.1.99.5		Hydantoin racemase
USDA1021_00209	CDS	900				hypothetical protein
USDA1021_00210	CDS	759				hypothetical protein
USDA1021_00211	CDS	744				hypothetical protein
USDA1021_00212	CDS	591				hypothetical protein
USDA1021_00213	CDS	1944	macB	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
USDA1021_00214	CDS	1281	macA_1		COG0845	Macrolide export protein MacA
USDA1021_00215	CDS	648				hypothetical protein
USDA1021_00216	CDS	1020	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
USDA1021_00217	CDS	255				hypothetical protein
USDA1021_00218	CDS	954				hypothetical protein
USDA1021_00219	CDS	945				hypothetical protein
USDA1021_00220	CDS	699				hypothetical protein
USDA1021_00221	CDS	213				hypothetical protein
USDA1021_00222	CDS	102				hypothetical protein
USDA1021_00223	CDS	1227	lysN	2.6.1.39	COG1167	2-aminoadipate transaminase
USDA1021_00224	CDS	1050	yajO_1	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
USDA1021_00225	CDS	675	sspA_1		COG0625	Stringent starvation protein A 
USDA1021_00226	CDS	237	rpsU_1		COG0828	30S ribosomal protein S21
USDA1021_00227	CDS	288				hypothetical protein
USDA1021_00228	CDS	210	cspA_2		COG1278	Cold shock protein CspA
USDA1021_00229	CDS	981			COG1840	putative protein
USDA1021_00230	CDS	2037				hypothetical protein
USDA1021_00231	CDS	990	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
USDA1021_00232	CDS	1713	cof	3.6.1.-		HMP-PP phosphatase
USDA1021_00233	CDS	195				hypothetical protein
USDA1021_00234	CDS	1041	ftsZ_2			Cell division protein FtsZ
USDA1021_00235	CDS	1770				hypothetical protein
USDA1021_00236	CDS	1329				hypothetical protein
USDA1021_00237	CDS	1140			COG4663	Monocarboxylate 2-oxoacid-binding periplasmic protein
USDA1021_00238	CDS	702				hypothetical protein
USDA1021_00239	CDS	1740				hypothetical protein
USDA1021_00240	CDS	1335				hypothetical protein
USDA1021_00241	CDS	444				hypothetical protein
USDA1021_00242	CDS	1107				hypothetical protein
USDA1021_00243	CDS	750				hypothetical protein
USDA1021_00244	CDS	918	phzF_1	5.3.3.17		Trans-2,3-dihydro-3-hydroxyanthranilate isomerase
USDA1021_00245	tRNA	76				tRNA-Lys(ctt)
USDA1021_00246	CDS	1212				hypothetical protein
USDA1021_00247	CDS	285				hypothetical protein
USDA1021_00248	CDS	186				hypothetical protein
USDA1021_00249	CDS	285				hypothetical protein
USDA1021_00250	CDS	195				hypothetical protein
USDA1021_00251	CDS	450				hypothetical protein
USDA1021_00252	CDS	420				hypothetical protein
USDA1021_00253	CDS	318				hypothetical protein
USDA1021_00254	CDS	780				hypothetical protein
USDA1021_00255	CDS	315				hypothetical protein
USDA1021_00256	CDS	429				hypothetical protein
USDA1021_00257	CDS	522				hypothetical protein
USDA1021_00258	CDS	963				hypothetical protein
USDA1021_00259	CDS	528				hypothetical protein
USDA1021_00260	CDS	216				hypothetical protein
USDA1021_00261	CDS	222				hypothetical protein
USDA1021_00262	CDS	234				hypothetical protein
USDA1021_00263	CDS	747				hypothetical protein
USDA1021_00264	CDS	822				hypothetical protein
USDA1021_00265	CDS	180				hypothetical protein
USDA1021_00266	CDS	717				hypothetical protein
USDA1021_00267	CDS	243				hypothetical protein
USDA1021_00268	CDS	1035				hypothetical protein
USDA1021_00269	CDS	201				hypothetical protein
USDA1021_00270	CDS	435				hypothetical protein
USDA1021_00271	CDS	2010				hypothetical protein
USDA1021_00272	CDS	201				hypothetical protein
USDA1021_00273	CDS	1134				hypothetical protein
USDA1021_00274	CDS	246				hypothetical protein
USDA1021_00275	CDS	216				hypothetical protein
USDA1021_00276	CDS	732				hypothetical protein
USDA1021_00277	CDS	777				hypothetical protein
USDA1021_00278	CDS	402				hypothetical protein
USDA1021_00279	CDS	600				hypothetical protein
USDA1021_00280	CDS	228				hypothetical protein
USDA1021_00281	CDS	252	acpP_1		COG0236	Acyl carrier protein AcpP
USDA1021_00282	CDS	186				hypothetical protein
USDA1021_00283	CDS	108				hypothetical protein
USDA1021_00284	CDS	276				hypothetical protein
USDA1021_00285	CDS	501				hypothetical protein
USDA1021_00286	CDS	1332				hypothetical protein
USDA1021_00287	CDS	1383				hypothetical protein
USDA1021_00288	CDS	567				hypothetical protein
USDA1021_00289	CDS	1146				hypothetical protein
USDA1021_00290	CDS	471				hypothetical protein
USDA1021_00291	CDS	969				hypothetical protein
USDA1021_00292	CDS	342				hypothetical protein
USDA1021_00293	CDS	495				hypothetical protein
USDA1021_00294	CDS	162				hypothetical protein
USDA1021_00295	CDS	366				hypothetical protein
USDA1021_00296	CDS	144				hypothetical protein
USDA1021_00297	CDS	510	blc		COG3040	Outer membrane lipoprotein Blc
USDA1021_00298	CDS	1038				hypothetical protein
USDA1021_00299	CDS	447				hypothetical protein
USDA1021_00300	CDS	426				hypothetical protein
USDA1021_00301	CDS	486				hypothetical protein
USDA1021_00302	CDS	402				hypothetical protein
USDA1021_00303	CDS	234				hypothetical protein
USDA1021_00304	CDS	675				hypothetical protein
USDA1021_00305	CDS	396				hypothetical protein
USDA1021_00306	CDS	2097				hypothetical protein
USDA1021_00307	CDS	396				hypothetical protein
USDA1021_00308	CDS	576				hypothetical protein
USDA1021_00309	CDS	591				hypothetical protein
USDA1021_00310	CDS	405				hypothetical protein
USDA1021_00311	CDS	2748				hypothetical protein
USDA1021_00312	CDS	1521				hypothetical protein
USDA1021_00313	CDS	2022				hypothetical protein
USDA1021_00314	CDS	408				hypothetical protein
USDA1021_00315	CDS	315				hypothetical protein
USDA1021_00316	CDS	177				hypothetical protein
USDA1021_00317	CDS	96				hypothetical protein
USDA1021_00318	CDS	270				hypothetical protein
USDA1021_00319	CDS	969				hypothetical protein
USDA1021_00320	CDS	318				hypothetical protein
USDA1021_00321	CDS	285				hypothetical protein
USDA1021_00322	CDS	366				hypothetical protein
USDA1021_00323	CDS	147				hypothetical protein
USDA1021_00324	CDS	156				hypothetical protein
USDA1021_00325	CDS	174				hypothetical protein
USDA1021_00326	CDS	369				hypothetical protein
USDA1021_00327	CDS	177				hypothetical protein
USDA1021_00328	CDS	924	ligD_1		COG1793	Multifunctional non-homologous end joining protein LigD
USDA1021_00329	CDS	576				hypothetical protein
USDA1021_00330	CDS	462				hypothetical protein
USDA1021_00331	CDS	393				hypothetical protein
USDA1021_00332	CDS	831				IS3 family transposase ISRm1
USDA1021_00333	CDS	771				hypothetical protein
USDA1021_00334	CDS	906				hypothetical protein
USDA1021_00335	CDS	1311	prsE_1			Type I secretion system membrane fusion protein PrsE
USDA1021_00336	CDS	1854	prsD_1			Type I secretion system ATP-binding protein PrsD
USDA1021_00337	CDS	813				hypothetical protein
USDA1021_00338	CDS	2598	btuB_1			Vitamin B12 transporter BtuB
USDA1021_00339	CDS	1065	fecR		COG3712	Protein FecR
USDA1021_00340	CDS	558	fecI		COG1595	putative RNA polymerase sigma factor FecI
USDA1021_00341	CDS	1014				hypothetical protein
USDA1021_00342	CDS	726				hypothetical protein
USDA1021_00343	CDS	288				hypothetical protein
USDA1021_00344	CDS	330				hypothetical protein
USDA1021_00345	CDS	690				hypothetical protein
USDA1021_00346	CDS	519	dnaA_1			Chromosomal replication initiator protein DnaA
USDA1021_00347	CDS	621				hypothetical protein
USDA1021_00348	CDS	180				hypothetical protein
USDA1021_00349	CDS	198				hypothetical protein
USDA1021_00350	CDS	597				hypothetical protein
USDA1021_00351	CDS	441				hypothetical protein
USDA1021_00352	CDS	363				hypothetical protein
USDA1021_00353	CDS	405				hypothetical protein
USDA1021_00354	CDS	156				hypothetical protein
USDA1021_00355	CDS	342				hypothetical protein
USDA1021_00356	CDS	1434				hypothetical protein
USDA1021_00357	CDS	465				hypothetical protein
USDA1021_00358	CDS	843				hypothetical protein
USDA1021_00359	CDS	813				hypothetical protein
USDA1021_00360	CDS	252				hypothetical protein
USDA1021_00361	CDS	339				hypothetical protein
USDA1021_00362	CDS	285				hypothetical protein
USDA1021_00363	CDS	420				hypothetical protein
USDA1021_00364	CDS	1776				hypothetical protein
USDA1021_00365	CDS	720				hypothetical protein
USDA1021_00366	CDS	462				hypothetical protein
USDA1021_00367	CDS	2658				hypothetical protein
USDA1021_00368	CDS	642				hypothetical protein
USDA1021_00369	CDS	264				hypothetical protein
USDA1021_00370	CDS	510				hypothetical protein
USDA1021_00371	CDS	756				IS256 family transposase ISRm3
USDA1021_00372	CDS	339				hypothetical protein
USDA1021_00373	CDS	1410				hypothetical protein
USDA1021_00374	CDS	1614	algE2	5.1.3.37	COG2931	Mannuronan C5-epimerase AlgE2
USDA1021_00375	CDS	834	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
USDA1021_00376	CDS	1005	cdhR_2		COG4977	HTH-type transcriptional regulator CdhR
USDA1021_00377	CDS	243	frmR		COG1937	Transcriptional repressor FrmR
USDA1021_00378	CDS	966	czcD		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
USDA1021_00379	CDS	600				hypothetical protein
USDA1021_00380	CDS	864	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
USDA1021_00381	CDS	201				hypothetical protein
USDA1021_00382	CDS	330				hypothetical protein
USDA1021_00383	CDS	897	cysL		COG0583	HTH-type transcriptional regulator CysL
USDA1021_00384	CDS	330			COG0640	HTH-type transcriptional regulator
USDA1021_00385	CDS	471				hypothetical protein
USDA1021_00386	CDS	663		2.7.1.-		Chloramphenicol 3-O phosphotransferase
USDA1021_00387	CDS	2052	nqrF_1	7.2.1.1		Na(+)-translocating NADH-quinone reductase subunit F
USDA1021_00388	CDS	339				hypothetical protein
USDA1021_00389	CDS	963	acsE	2.1.1.258	COG1410	5-methyltetrahydrofolate:corrinoid/iron-sulfur protein co-methyltransferase
USDA1021_00390	CDS	1092				hypothetical protein
USDA1021_00391	CDS	588				hypothetical protein
USDA1021_00392	CDS	303				hypothetical protein
USDA1021_00393	CDS	468				Lectin-like protein BA14k
USDA1021_00394	CDS	174				hypothetical protein
USDA1021_00395	CDS	147				hypothetical protein
USDA1021_00396	CDS	810	purN_1	2.1.2.2		Phosphoribosylglycinamide formyltransferase
USDA1021_00397	CDS	621				hypothetical protein
USDA1021_00398	CDS	699	metH_1	2.1.1.13	COG0646	Methionine synthase
USDA1021_00399	CDS	1575	mtgB_2	2.1.1.-	COG5598	Glycine betaine methyltransferase
USDA1021_00400	CDS	705				hypothetical protein
USDA1021_00401	CDS	753				hypothetical protein
USDA1021_00402	CDS	639	dauR_1		COG2964	Transcriptional regulator DauR
USDA1021_00403	CDS	1143	vioD	4.2.1.145		Capreomycidine synthase
USDA1021_00404	CDS	216				hypothetical protein
USDA1021_00405	CDS	1014	yitJ		COG0646	Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase
USDA1021_00406	CDS	849	hdfR_2			HTH-type transcriptional regulator HdfR
USDA1021_00407	CDS	408				hypothetical protein
USDA1021_00408	CDS	162				hypothetical protein
USDA1021_00409	CDS	258				hypothetical protein
USDA1021_00410	CDS	1047	opuAA_1	7.6.2.9	COG4175	Glycine betaine transport ATP-binding protein OpuAA
USDA1021_00411	CDS	1035				hypothetical protein
USDA1021_00412	CDS	144				hypothetical protein
USDA1021_00413	CDS	1455	cobQ			Cobyric acid synthase
USDA1021_00414	CDS	816	cpo_1	1.11.1.10		Non-heme chloroperoxidase
USDA1021_00415	CDS	2178				hypothetical protein
USDA1021_00416	CDS	909				hypothetical protein
USDA1021_00417	CDS	528	cobP	2.7.1.156		Bifunctional adenosylcobalamin biosynthesis protein CobP
USDA1021_00418	CDS	1065				hypothetical protein
